;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"Average";"219,40262482695385";"227,39034340823832";"211,48471057239976";"219,93982797972544";"215,0027159126061";"219,49223374433763";"209,5623812721837";"222,01290198838655";"222,59488769258488";"217,10035320566044"
"StandardDeviation";"45,31230638156651";"39,9439480473506";"38,12678888232852";"29,06405885025441";"44,80576239307705";"36,22278973102334";"36,99926114699766";"33,31304375572513";"29,215833033499177";"35,74820785462933"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"251,8656524368575";"300,9031868877589";"300,05362507990617";"251,53028365146776";"301,62770772183734";"250,72880856373845";"299,5774963308373";"250,97396025759932";"250,0386374996274";"298,8662651059828"
"WorstSolution";"148,8355429673297";"149,86098605256285";"148,4407757415064";"148,8355429673297";"150,58155152417658";"148,8355429673297";"198,17764180654888";"148,67116813384735";"148,4407757415064";"149,5049420473848"
"Average";"222,3857317980647";"225,03345764877622";"227,084805165605";"192,2887027596017";"222,7009349824169";"207,40067813661335";"224,70818249596746";"202,8796889543193";"209,63956794935547";"212,19267423142975"
"StandardDeviation";"33,32575959942146";"43,2657525161989";"40,176687860557266";"32,82485561663128";"48,21557087262413";"32,64660216278387";"33,479318301820086";"36,81360233824698";"37,23538332025289";"38,00654372936724"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"251,636990954217";"252,28734827019068";"299,57503957364764";"298,6735741905081";"299,9345782964536";"251,5369015057367";"251,1851402788332";"250,0831808480479";"299,3446471813067";"298,94616863116516"
"WorstSolution";"149,1229138887647";"149,61354665027557";"150,1895369518327";"148,55525541089247";"149,26228631426014";"198,3466782049992";"149,5229128140367";"149,57874121218885";"148,11624872317833";"198,7172337816645"
"Average";"219,97680256268623";"217,25707352185773";"222,34247224670307";"212,66026491608918";"216,96365157910515";"227,05765963313956";"202,4516149788407";"204,62423758407837";"209,73780658367792";"227,3726243034197"
"StandardDeviation";"33,3905013346795";"32,331383412152384";"33,28715324242297";"41,25134128063498";"36,186375184010444";"24,674645680727057";"33,254196323254895";"30,96972382774469";"34,049570915470355";"33,13003150053432"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"299,61172333370587";"299,27510031403665";"299,5735320533452";"297,8747278192521";"299,52360875372517";"300,9076075702205";"251,7773867385636";"251,44575027603932";"297,8253720566979";"298,37220901858893"
"WorstSolution";"149,8829632500744";"148,8355429673297";"149,1229138887647";"151,24147986272533";"148,5552554108925";"149,84220813291606";"149,3051803574356";"150,6591743419386";"149,19158697250776";"149,1416918084115"
"Average";"209,74713065548158";"201,98869460995937";"222,1315221582755";"212,13289488045743";"221,748969952345";"222,30904684682793";"219,50940914460392";"214,72569447338324";"212,24695020808184";"226,9693604166667"
"StandardDeviation";"45,85370723440045";"39,98076877279853";"33,43805537539139";"34,34305720507422";"33,33488784518831";"45,778421497223675";"33,16293030410563";"27,712080595684675";"38,04566673920831";"36,90760114708747"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"299,3956948198853";"301,0540191886455";"299,58366532185954";"250,8441762334227";"300,407079063664";"300,1232419753017";"298,06269832122626";"299,57503957364764";"300,71865040325577";"299,61242909216224"
"WorstSolution";"150,11184812211292";"199,15318131202494";"149,76848358068833";"149,1416918084115";"150,07505728244664";"149,19158697250776";"149,86098605256285";"150,11184812211292";"150,84671263690205";"197,47176525070773"
"Average";"232,47062266933017";"224,8990296755047";"207,62436662560532";"207,24598865018248";"222,33671672810493";"224,49353583982446";"214,5841995133735";"220,08072199973913";"222,58238855463046";"234,65179690842456"
